stations_name,latitude,longitude_x,number of bikes,name,distance,address,zip_code,city,longitude_y,categories
Landstraße,48.295,14.292987,8,Das Anton,37,Am Volksgarten 1,4020.0,Linz,14.293,austrian
Landstraße,48.295,14.292987,8,Tropea,329,Coulinstr. 9,4020.0,Linz,14.288,italian
Landstraße,48.295,14.292987,8,tiktak,51,Landstr. 119,4020.0,Linz,14.293,breakfast_brunch
Bahnhofplatz,48.291,14.2912,31,Restaurante Hotel Ibis Linz,157,Kärntner Str. 18- 20,4020.0,Linz,14.289,Travel and Transportation
Bahnhofplatz,48.291,14.2912,31,Niu Restaurant,192,Kärntnerstr. 26,4020.0,Linz,14.288,Asian Restaurant
Bahnhofplatz,48.291,14.2912,31,LIMAK Austrian Business School,433,Bergschlößlgasse 1,4020.0,Linz,14.285,College and University
Bahnhofplatz,48.291,14.2912,31,niu,550,Kärntnerstr. 26,4020.0,Linz,14.289,asianfusion
Bahnhofplatz,48.291,14.2912,31,Stellwerk,480,Bahnhofplatz 3-6,4020.0,Linz,14.291,cafes
Bahnhofplatz,48.291,14.2912,31,Leberkas-Pepi,74,Bahnhofplatz 3-6,4020.0,Linz,14.291,hotdogs
Weingartshofstraße ,48.291,14.28798,6,Restaurante Hotel Ibis Linz,157,Kärntner Str. 18- 20,4020.0,Linz,14.289,Travel and Transportation
Weingartshofstraße ,48.291,14.28798,6,Niu Restaurant,192,Kärntnerstr. 26,4020.0,Linz,14.288,Asian Restaurant
Weingartshofstraße ,48.291,14.28798,6,LIMAK Austrian Business School,433,Bergschlößlgasse 1,4020.0,Linz,14.285,College and University
Weingartshofstraße ,48.291,14.28798,6,niu,550,Kärntnerstr. 26,4020.0,Linz,14.289,asianfusion
Weingartshofstraße ,48.291,14.28798,6,Stellwerk,480,Bahnhofplatz 3-6,4020.0,Linz,14.291,cafes
Weingartshofstraße ,48.291,14.28798,6,Leberkas-Pepi,74,Bahnhofplatz 3-6,4020.0,Linz,14.291,hotdogs
Bethlehemstraße ,48.303,14.2893,2,Inlingua Sprachschule - International School of Languages,40,Landstr. 24,4020.0,Linz,14.289,Language School
Bethlehemstraße ,48.303,14.2893,2,El Paso Restaurant Pizzeria,156,OK Platz 1a,4020.0,Linz,14.291,"Pizzeria, Italian Restaurant, Mexican Restaurant"
Bethlehemstraße ,48.303,14.2893,2,BIGOLI Bar - Restaurant,201,Dametzstr. 38,4020.0,Linz,14.291,Italian Restaurant
Bethlehemstraße ,48.303,14.2893,2,China-Restaurant Taiwan,315,Klammstr. 3,4020.0,Linz,14.284,Restaurant
Bethlehemstraße ,48.303,14.2893,2,Izakaya Restaurant,330,Klammstr. 6,4020.0,Linz,14.284,Japanese Restaurant
Bethlehemstraße ,48.303,14.2893,2,Gelbes Krokodil,543,Dametzstr. 30,4020.0,Linz,14.291,modern_european
Bethlehemstraße ,48.303,14.2893,2,Cafe Exx,294,Klammstr. 1,4020.0,Linz,14.284,cafes
Bethlehemstraße ,48.303,14.2893,2,Izakaya,288,Klammstr. 6,4020.0,Linz,14.284,japanese
Bethlehemstraße ,48.303,14.2893,2,Skygarden,31,Landstr. 17 - 25,4020.0,Linz,14.289,bars
Bethlehemstraße ,48.303,14.2893,2,Akakiko,47,Landstr. 17-25,4020.0,Linz,14.29,japanese
Bethlehemstraße ,48.303,14.2893,2,Cook,516,Klammstr. 1,4020.0,Linz,14.284,scandinavian
Bethlehemstraße ,48.303,14.2893,2,Zur Eisernen Hand,77,Eisenhandstr. 43,4020.0,Linz,14.299,austrian
Bethlehemstraße ,48.303,14.2893,2,Solaris Bar/Cafe im OK,681,Dametzstr. 30,4020.0,Linz,14.291,bars
Bethlehemstraße ,48.303,14.2893,2,China-Palast,40,Eisenhandstr. 30,4020.0,Linz,14.298,chinese
Bethlehemstraße ,48.303,14.2893,2,Glorious Bastards,44,Promenade 25,4020.0,Linz,14.285,pizza
Gruberstraße,48.303,14.3003,6,Inlingua Sprachschule - International School of Languages,40,Landstr. 24,4020.0,Linz,14.289,Language School
Gruberstraße,48.303,14.3003,6,El Paso Restaurant Pizzeria,156,OK Platz 1a,4020.0,Linz,14.291,"Pizzeria, Italian Restaurant, Mexican Restaurant"
Gruberstraße,48.303,14.3003,6,BIGOLI Bar - Restaurant,201,Dametzstr. 38,4020.0,Linz,14.291,Italian Restaurant
Gruberstraße,48.303,14.3003,6,China-Restaurant Taiwan,315,Klammstr. 3,4020.0,Linz,14.284,Restaurant
Gruberstraße,48.303,14.3003,6,Izakaya Restaurant,330,Klammstr. 6,4020.0,Linz,14.284,Japanese Restaurant
Gruberstraße,48.303,14.3003,6,Gelbes Krokodil,543,Dametzstr. 30,4020.0,Linz,14.291,modern_european
Gruberstraße,48.303,14.3003,6,Cafe Exx,294,Klammstr. 1,4020.0,Linz,14.284,cafes
Gruberstraße,48.303,14.3003,6,Izakaya,288,Klammstr. 6,4020.0,Linz,14.284,japanese
Gruberstraße,48.303,14.3003,6,Skygarden,31,Landstr. 17 - 25,4020.0,Linz,14.289,bars
Gruberstraße,48.303,14.3003,6,Akakiko,47,Landstr. 17-25,4020.0,Linz,14.29,japanese
Gruberstraße,48.303,14.3003,6,Cook,516,Klammstr. 1,4020.0,Linz,14.284,scandinavian
Gruberstraße,48.303,14.3003,6,Zur Eisernen Hand,77,Eisenhandstr. 43,4020.0,Linz,14.299,austrian
Gruberstraße,48.303,14.3003,6,Solaris Bar/Cafe im OK,681,Dametzstr. 30,4020.0,Linz,14.291,bars
Gruberstraße,48.303,14.3003,6,China-Palast,40,Eisenhandstr. 30,4020.0,Linz,14.298,chinese
Gruberstraße,48.303,14.3003,6,Glorious Bastards,44,Promenade 25,4020.0,Linz,14.285,pizza
Klammstraße,48.303,14.28454,6,Inlingua Sprachschule - International School of Languages,40,Landstr. 24,4020.0,Linz,14.289,Language School
Klammstraße,48.303,14.28454,6,El Paso Restaurant Pizzeria,156,OK Platz 1a,4020.0,Linz,14.291,"Pizzeria, Italian Restaurant, Mexican Restaurant"
Klammstraße,48.303,14.28454,6,BIGOLI Bar - Restaurant,201,Dametzstr. 38,4020.0,Linz,14.291,Italian Restaurant
Klammstraße,48.303,14.28454,6,China-Restaurant Taiwan,315,Klammstr. 3,4020.0,Linz,14.284,Restaurant
Klammstraße,48.303,14.28454,6,Izakaya Restaurant,330,Klammstr. 6,4020.0,Linz,14.284,Japanese Restaurant
